id,name,route_code,route_name,lat,long
9000082,,213285,اردستان - نطنز (آزادراه کنار گذر شرقي - کيلومتر 54.2) (متناظر توزين),32.7331405,51.800108
9000083,,213401,خوانسار - دامنه (سه راهي دربيد),33.1408572,50.4431462
9000084,,213402,خوانسار - گلپايگان (وانشان),33.3505517,50.3538716
9000085,,213451,دامنه - خوانسار (سه راهي دربيد),33.1408572,50.4431462
9000086,,213452,گلپايگان - خوانسار(وانشان),33.3505517,50.3538716
3728435,سميرم - ياسوج( سه‌راهي پاتاوه),213501,سميرم - ياسوج( سه‌راهي پاتاوه),31.357521,51.534595
3728436,ياسوج - سميرم (سه‌راهي پاتاوه ),213551,ياسوج - سميرم (سه‌راهي پاتاوه ),31.357521,51.534595
3728437,اليگودرز - داران (بويين مياندشت - داران),213601,اليگودرز - داران (بويين مياندشت - داران),33.064864,50.151637
9000087,,213602,داران - تيران,32.9548086,50.6878495
9000088,,213603,(سه راهي دامنه)داران - تيران,33.0337618,50.4935825
3728439,داران - اليگودرز (داران - بويين مياندشت),213651,داران - اليگودرز (داران - بويين مياندشت),33.064864,50.151637
9000089,,213652,تيران - داران,32.9548086,50.6878495
9000090,,213653,(سه راهي دامنه)تيران - داران,33.0337618,50.4935825
9000091,,213701,سه راهي ازون بلاغ - فريدونشهر,32.9476782,50.1953101
9000092,,213751,فريدونشهر - سه راهي ازون بلاغ,32.9476782,50.1953101
9000093,,213801,ابريشم - پيربکران,32.510576,51.5544498
9000094,,213851,پيربکران - ابريشم,32.510576,51.5544498
9000095,,213901,شهرضا - اصفهان,32.1479291,51.8694484
9000096,,213902,شهرضا - سميرم,31.7059714,51.7793369
9000097,,213903,شهرضا - هرند (شهرضا - نيک‌آباد),32.2533135,52.0388675
9000098,,213904,شهر رضا - ايزد خواست (منظريه),31.9333711,51.9041562
3728448,دهاقان - بروجن,213910,دهاقان - بروجن,31.930073,51.589641
9000099,,213918,شهرضا - دهاقان(گلشن),31.9380692,51.7443824
3728450,شهرضا - ايزدخواست (منظريه),213921,شهرضا - ايزدخواست (منظريه),31.708136,52.051978
9000100,,213951,اصفهان - شهرضا,32.1479291,51.8694484
9000101,,213952,سميرم - شهرضا,31.7059714,51.7793369
9000102,,213953,هرند - شهرضا (نيک‌آباد - شهرضا),32.2533135,52.0388675
9000103,,213954,ايزد خواست - شهر رضا (منظريه),31.9333711,51.9041562
3728454,بروجن - دهاقان,213960,بروجن - دهاقان,31.930073,51.589641
9000104,,213968,دهاقان(گلشن)- شهرضا,31.9380692,51.7443824
3728456,ایزدخواست - شهرضا (منظریه),213971,ایزدخواست - شهرضا (منظریه),31.708136,52.051978
9000105,کاشان - قم (ابتداي آزادراه),214202,آزادراه کاشان - قم (کاشان - مشکات),33.970876,51.3426089
9000106,بادرود - اردستان (متناظر توزين),214204,باد رود - اردستان,33.5775857,52.1466923
9000107,کاشان - نطنز (ابتداي آزادراه),214205,آزادراه کاشان - نطنز (کاشان),33.864144,51.5220165
